score	twi	english
0.9941	Box MB 40 Accra – Ghana Email: info@mofep.gov.gh Translated by: Bureau of Ghana Languages	Box MB 40 Accra – Ghana Email: info@mofep.gov.gh
0.9971	Yei kyerɛ sɛ, ɛberɛ a amannɔne sika a yɛnya firi amansan boseabɔ edwa so ne sika a ɛfiri adwadeɛ a yɛde kɔ amannɔne mu no so reteɛ, na afei ɛsiane sɛdeɛ yɛpɛ amannɔne nneɛma pa ara enti, sika a yɛde kra nneɛma firi amannɔne no nso kɔ ara na ɛrekɔ soro, na amannɔne ɛka a yɛde no nso kɔ ara na ɛrekɔ soro no, na yɛn sika mu duru no so te ara na ɛreteɛ.	‘’We are currently in a crisis driven by rising fuel prices caused by the rapid loss in value of the local currency, as well as high international crude oil prices.
0.9937	Afe 2023 mu no, Aban bɛgye mmoa afiri EXIM sikakorabea (EXIM bank) no hɔ nam so asisi mfidie a wɔde yɛ ɔyɛasaseyie a wɔmfaa mu no bi afoforɔ, asane atrɛtrɛ deɛ ɛwɔ hɔ dada no mu.	The details of the 2023 expenditure is summarised in the Figure 5.
0.9956	Ogyahoɔden 40. Sɛdeɛ ɛbɛyɛ na yɛbɛsi ogyahoɔden a yɛhwere wɔ ɛberɛ a yɛde anyinam ahoɔden rekɔ mmeammea a ɛhia wɔ ne kyɛ mu ano na ɛho nhyehyɛeɛ nyinaa bɛkɔ nkan enti no, yɛwiee, Firaw Mantam- Achimota anyinam ahoma ho dwumadie (161kV Volta-Achimota- Mallam Transmission Line Upgrade) no.	Energy 40. In order to reduce transmission and distribution system losses and improve transmission system reliability, the 161kV Volta- Achimota-Mallam Transmission Line Upgrade Project was completed and is in operation.
0.9893	Aban botaeɛ a ɛne sɛ ɔbɛma anyinam akɔ nkuro a nsuo atwa ho ahyia (supɔ) na ɛhɔ kɔ yɛ den no enti, yɛafiri aseɛ asisi ɛho mfidie mmiɛnsa wɔ Azizkpe, Aflive ne Alorkpem a ɛwɔ Ada Apueeɛ Mansini a ɛwɔ Nkran Mantam mu no mu.	As part of Government’s strategy to electrify island communities and hard-to-reach areas with renewable energy technologies, civil works on the construction of three mini-grids at Azizkpe, Aflive and Alorkpem Islands in the Ada East District of the Greater Accra Region have been completed.
0.9927	Ho Atɔeɛ ne Tongu Atifi mansini no ho dwuma ma ɛkɔduruu ɔha mu nkyɛmu aduɔkron enum.	Ho West and North Tongu Districts is 95 percent complete.
0.9912	Yei enti sɛdeɛ ɛbɛyɛ na Aban bɛtu atiridii yadeɛ ase no, ɔde afidie bi a wɔfrɛ no “LSM Implement app” a ɛtumi kyerɛ baabi a ntontom dɔre ma wɔhye wɔn ase wɔ Mansini ahodoɔ mu aba.	Thus, as part of Government’s efforts to eliminate malaria, an application (LSM Implement app) for mapping and treatment of mosquito breeding sites in the districts has been rolled out.
0.9966	Yei enti, Aban bɛyɛ nhyehyɛeɛ nam so ne nnwuma ahodoɔ a ɛwɔ hɔ dada ne deɛ afei na wɔrebɛfiri aseɛ aka wɔn ho abom nam so atrɛ nnwuma no mu, ɔbɛsiesie, asane de mfidie a ɛbɛyɛ adwadeɛ pɔtee a yɛde ani asi so no adi dwuma.	Consequently, the banks have committed a total of GH¢1.169 billion, which represents 30% of the funding portfolio, for the programme.
0.9976	Aban bɛkɔ so de ahohiahia ho ɔhwɛ a ɛfata ama wɔn a wɔbɛnya wɔn tiri adidi mu wɔ Nnipatɔn mu no, na wayɛ nhyehyɛeɛ ako atia nnipatɔn, mpɔtam nsawɔsodie na wasane ahyehyɛ dwumadie a wɔnam so bɛtwe nnwumakuo a wɔko tia nnipatɔn no adwene asi nnipatɔn ho ɔhaw so.	Budget: A budget is a plan that outlines where to get money from and what to spend it on.
0.9971	Abibirem Aman mu Edwadie A Akwansideɛ Nni ho (African Continental Free Trade Area – AfCFTA): Yei yɛ edwa kɛseɛ a wɔahyehyɛ ama Abibirem Adwdeɛyɛ Nnwumakuo a ɛbɛboa ama wɔde wɔn adwadeɛ akɔ Abibirem aman so akɔtɔn a wɔrentua edwadie mu ɛtoɔ ahodoɔ biara na wɔanya edwa kɛseɛ a ɛwɔ Abibirem ha no ho mfasoɔ.	African Continental Free Trade Area (AfCFTA): A market created to eliminate tariffs on intra-Africa trade, making it easier for African businesses to trade within the continent and benefit from the growing African market.
0.9971	Sika Mu Nkyekyɛmu (Allocation): Yei yɛ ɛkwan a wɔfa so kyekyɛ ɔman sika mu ma Aban asoɛeɛ ahodoɔ no ne nnwumakuo ahodoɔ no ma wɔde di dwuma ma ɔmanfoɔ.	Allocation: The process of sharing or distributing resources amoung government agencies and departments.
0.9976	Afadeɛ (Apparel): Afadeɛ anaa atadeɛ pɔtee bi a wɔtɔn wɔ sotɔɔ mu.	La Beach Road Completion Project
0.9971	Sikasɛm Nhyehyɛeɛ (Budget): Sikasɛm nhyehyɛeɛ gyina hɔ ma nhyehyɛeɛ a Aban ayɛ afa ɛkwan a ɔbɛfa so anya sika ne deɛ ɔde saa sika no bɛyɛ ho.	EXIM (Export-Import) Bank: Ghana Export-Import Bank (GEXIM) was established by the Ghana Export-Import Bank Act 2016 (Act 911) to support the government of Ghana’s quest for a feasible and sustainable export led economy.
0.9976	Nsiho-tua (Interest payments): Yei yɛ bosea anaa agyapadeɛ bi ho nsiho a ɔkafoɔ anaa deɛ wafiri agyapadeɛ no tua.	© 2022. All rights reserved.
0.9971	Mmɔborɔwafoɔ Aduonu (V20 - Vulnerable Twenty): Yeinom yɛ aman bi a wɔsusu sɛ ewiem nsakraeɛ ho nsuansuansoɔ a ano yɛ den no ka wɔn pa ara.	V20 (Vulnerable Twenty): They are detailed massive economic damage wrought by climate change on the economies representing countries considered the most vulnerable to climate change.
